Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
22-DEC-2023,16661.35,16737.6,16575.5,16693,1112996176,19724.14
26-DEC-2023,16761.8,16826.7,16712.05,16787,977432773,18558.92
27-DEC-2023,16873.5,16932.4,16775.9,16852.45,760450181,18294.6
28-DEC-2023,16909.4,16944.55,16848.4,16933.75,1088675654,22603.97
29-DEC-2023,16972.9,17102.4,16907.6,17077.05,2735973623,23766.47
01-JAN-2024,17135,17229,17104.85,17174,3005367489,20630.56
02-JAN-2024,17214.95,17238,16961.25,17148.1,2456015603,24277.2
03-JAN-2024,17176.85,17232.3,17082.6,17189.95,1764537582,21760.76
04-JAN-2024,17264.7,17454.9,17259.4,17443.75,1523982033,23253.88
05-JAN-2024,17525.15,17575.65,17376.55,17499.65,2126225718,24231.3
08-JAN-2024,17550.85,17560.25,17334.45,17350.55,2015873594,22227.32
09-JAN-2024,17472.85,17517.95,17356.25,17382,1877882513,26319.89
10-JAN-2024,17411.85,17433.5,17251.65,17425.35,1699922723,23340.02
11-JAN-2024,17492.35,17536.4,17449.2,17500.5,1315434787,28012.18
12-JAN-2024,17583.3,17589.55,17511.95,17563.85,1212587120,22512.95
15-JAN-2024,17659.55,17685.8,17537.25,17656.35,1651910396,29371.62
16-JAN-2024,17706.95,17738.25,17453.5,17599.8,2274738364,31371.53
17-JAN-2024,17455.7,17564.35,17331.5,17413.15,2043479248,31310.56
18-JAN-2024,17386.5,17431.5,16978.05,17409.45,1837157949,35326.89
19-JAN-2024,17546.9,17687.2,17508.5,17670.85,1733489616,37812.46
20-JAN-2024,17799.1,17836.45,17688.7,17724.7,1106727455,18396.15
23-JAN-2024,17857.9,17868,17110.05,17204.35,2088556184,38230.02
24-JAN-2024,17240.95,17518.35,17033.4,17495.55,1984366717,34446.53
25-JAN-2024,17546.7,17559.25,17334.5,17413.75,1527267340,26990.04
29-JAN-2024,17490.35,17678.9,17459.2,17669.7,1530514943,28673.17
30-JAN-2024,17756.65,17782.05,17582.95,17607.15,1501682911,26586.31
31-JAN-2024,17636.9,17893.95,17627.6,17884.7,1208221725,26657.47
01-FEB-2024,17937.1,17937.15,17668,17782.8,1581996447,30034.43
02-FEB-2024,17863.05,17976.7,17844.1,17873.35,1910785836,32726.97
05-FEB-2024,17940.15,18032.65,17829.15,17871.55,2161843859,36081.46
06-FEB-2024,17955.65,18092.95,17853.5,18082,2385300930,34459.89
07-FEB-2024,18208.35,18252.7,18076.35,18203.35,3226252679,31316.82
08-FEB-2024,18341.5,18345.1,18133.6,18161.85,3243952551,34357.24
09-FEB-2024,18200.45,18201.35,17715.35,18003.1,3201753698,35449.86
12-FEB-2024,18090.4,18091.8,17520.6,17572.25,2195574251,32274.73
13-FEB-2024,17598.15,17645.9,17293.6,17622.65,2014464338,29114.82
14-FEB-2024,17442.6,17828.75,17371.25,17773.85,1754462254,24459.78
